REPORT_ID	type_dw	get_time	changing_months	changing_amount	content
168790	提前还款（全部）	2016-08-05	0	6068	--
169084	提前还款（全部）	2016-08-27	-6	2000	--
1338584	提前还款（全部）	2016-09-10	0	4542	--
1338584	提前还款（全部）	2016-07-07	0	2001	--
1338584	提前还款（全部）	2016-06-10	0	4560	--
1338584	提前还款（全部）	2017-01-24	0	8835	--
1338584	提前还款（全部）	2016-09-27	0	3019	--
1338584	提前还款（全部）	2017-02-20	0	3097	--
1338584	提前还款（全部）	2017-01-24	0	1507	--
1338584	提前还款（全部）	2017-02-24	0	7887	--
1338913	提前还款（全部）	2014-09-25	0	12271	全额提前结清
1338913	提前还款（部分）	2017-03-09	0	263	--
1338913	提前还款（部分）	2017-03-09	0	916	--
1338913	提前还款（全部）	2015-03-05	0	2227	全额提前结清
1338913	提前还款（部分）	2017-03-09	0	316	--
1339186	提前还款（全部）	2016-11-26	0	1623	提前结清
1339249	提前还款（全部）	2016-09-19	0	3004	--
1339249	提前还款（全部）	2016-09-23	0	3002	--
1340755	其他	2011-09-01	0	6325	45A4CCFC8BCCF3A8DD92EFA0CC895218115402B7（人行端业务号）提前还款
1340755	其他	2011-09-01	0	3162	45A4CCFC8BCCF3A8DD92EFA0CC895218115406CF（人行端业务号）提前还款
1348343	提前还款（部分）	2017-03-10	0	444	--
1348357	提前还款（全部）	2012-12-24	80	103840	提前还款
1352215	提前还款（部分）	2017-03-13	0	82	--
1352215	提前还款（部分）	2017-03-13	0	309	--
1352215	提前还款（部分）	2017-03-13	0	55	--
1352215	提前还款（部分）	2017-03-13	0	46	--
1352215	提前还款（部分）	2017-03-13	0	46	--
1352215	提前还款（部分）	2017-03-13	0	220	--
1352215	提前还款（部分）	2017-03-13	0	568	--
1356520	提前还款（全部）	2016-11-30	0	338	提前结清
1356520	提前还款（全部）	2016-10-19	0	338	提前结清
1356520	提前还款（全部）	2016-11-30	-1	375	提前结清
1356520	提前还款（全部）	2016-08-16	0	337	提前结清
1356520	提前还款（全部）	2016-11-11	0	508	提前结清
1356520	提前还款（全部）	2016-08-30	0	346	提前结清
1356520	提前还款（全部）	2016-11-11	0	512	提前结清
1356520	提前还款（全部）	2016-11-30	-4	1510	提前结清
1356520	提前还款（全部）	2016-11-30	0	404	提前结清
1356520	提前还款（全部）	2016-11-23	0	338	提前结清
1360048	提前还款（全部）	2017-01-03	0	1000	2041[表内贷款提前还款]
1338946	提前还款（全部）	2016-12-22	-9	17588	--
1339562	提前还款（全部）	2016-02-17	0	2478	全额提前结清
1345197	提前还款（全部）	2016-09-23	0	592	--
1345197	提前还款（全部）	2016-08-24	0	1818	--
1345197	提前还款（全部）	2016-09-23	0	1225	--
1345197	提前还款（全部）	2016-07-22	0	711	--
1345197	提前还款（全部）	2016-07-22	0	2039	--
1345197	提前还款（全部）	2016-05-09	0	1370	--
1345197	提前还款（全部）	2016-05-09	0	606	--
1356439	提前还款（全部）	2017-02-04	0	178	提前还款（全部）
1356439	提前还款（部分）	2016-12-08	-9	157	提前还款（部分）
1356439	提前还款（全部）	2016-09-21	0	682	提前结清
1356439	提前还款（部分）	2016-07-23	0	228	提前还款（部分）
1342720	提前还款（全部）	2017-03-06	0	679	--
1342720	提前还款（全部）	2016-08-23	0	509	--
1342720	提前还款（全部）	2016-09-20	0	8000	--
1342720	提前还款（全部）	2016-09-20	0	8000	--
1342720	提前还款（全部）	2016-09-20	0	6000	--
1342720	提前还款（全部）	2016-10-20	0	6000	--
1358575	提前还款（全部）	2017-03-01	0	342	--
1358575	提前还款（全部）	2017-03-01	0	342	--
1358575	提前还款（部分）	2017-03-01	0	523	--
1339105	提前还款（部分）	2017-02-26	0	366	--
1347183	提前还款（全部）	2016-12-25	0	1000	--
1347183	提前还款（全部）	2017-02-15	-1	3000	--
1347183	展期（延期）	2017-01-10	0	1000	--
1347183	提前还款（全部）	2016-12-26	-5	4167	--
1347183	其他	2017-01-08	-10	1500	正常提前还款
1347183	提前还款（全部）	2017-01-23	0	100750	提前部分还款：金额为：100750
1347183	提前还款（全部）	2016-12-24	0	8125	提前部分还款：金额为：8125
1347183	提前还款（全部）	2017-01-16	-1	3000	--
1349535	提前还款（部分）	2017-03-05	0	526	--
1349535	提前还款（部分）	2017-03-05	0	321	--
1349535	提前还款（部分）	2017-03-05	0	92	--
1349535	提前还款（部分）	2017-03-05	0	97	--
1349535	提前还款（部分）	2017-03-05	0	92	--
1356444	提前还款（部分）	2017-03-05	0	169	--
1337965	提前还款（部分）	2017-03-01	0	284	--
1345210	提前还款（全部）	2017-02-05	0	10200	--
1349137	提前还款（全部）	2016-12-21	0	3056	提前部分还款：金额为：3055.57
1355262	提前还款（全部）	2017-02-17	-234	2371293	提前还款（全部）
1355262	提前还款（部分）	2016-02-22	0	745598	提前还款（部分),业务期限不变,交易包括：提前还款交易金额（部分）745597.56元;
1357026	提前还款（全部）	2013-12-11	-12	9233	--
1357026	提前还款（全部）	2016-08-18	0	29916	全部提前还款
1357026	提前还款（部分）	2015-08-31	0	5600	部分提前还款
1357026	提前还款（全部）	2015-09-01	0	44469	全部提前还款
1357026	提前还款（全部）	2016-08-21	0	46994	全部提前还款
1357026	提前还款（全部）	2013-11-28	-36	50000	--
1357026	提前还款（全部）	2016-08-29	0	61747	全部提前还款
1357026	提前还款（全部）	2014-04-14	-34	13097	--
1357026	提前还款（全部）	2014-04-14	-36	15380	--
1357026	提前还款（全部）	2016-02-25	0	14800	全部提前还款
1357026	提前还款（全部）	2016-06-10	0	49227	全部提前还款
1357026	提前还款（全部）	2013-12-26	-36	30000	--
1357026	提前还款（部分）	2015-09-24	0	20000	部分提前还款
1357026	提前还款（全部）	2015-09-23	0	350957	全部提前还款
1357026	提前还款（全部）	2016-09-09	0	83212	全部提前还款
1357026	提前还款（全部）	2014-11-17	-36	51692	--
1357026	提前还款（全部）	2016-08-19	0	37146	全部提前还款
1357026	其他	2014-05-10	0	10019	全部提前还款
1357026	提前还款（全部）	2014-12-14	-36	10000	--
1357026	提前还款（全部）	2016-02-26	0	49908	全部提前还款
1357026	提前还款（全部）	2016-08-29	0	19912	全部提前还款
1357026	提前还款（全部）	2014-01-29	-36	21700	--
1357026	提前还款（全部）	2016-02-25	0	30097	全部提前还款
1357026	提前还款（全部）	2016-06-08	0	49479	全部提前还款
1357026	提前还款（全部）	2017-01-13	0	50037	全部提前还款
1357026	提前还款（全部）	2013-11-21	-36	14000	--
1357026	其他	2014-06-04	0	120096	全部提前还款
1357026	提前还款（全部）	2017-01-13	0	45024	全部提前还款
1357026	提前还款（全部）	2014-04-14	-34	63953	--
1357026	提前还款（全部）	2014-11-17	-36	78308	--
1357026	提前还款（全部）	2014-10-21	0	121296	全部提前还款
1357026	提前还款（全部）	2015-08-31	0	100245	全部提前还款
1357026	提前还款（全部）	2014-04-14	-33	91347	--
1357026	其他	2014-05-25	0	143600	部分提前还款
1357026	其他	2014-06-04	0	14990	部分提前还款
1357026	提前还款（部分）	2014-08-04	0	23000	部分提前还款
1357026	提前还款（全部）	2016-08-28	0	44846	全部提前还款
1357026	提前还款（全部）	2013-12-11	-36	50000	--
1357026	提前还款（全部）	2015-08-24	0	100580	全部提前还款
1357026	提前还款（全部）	2016-06-11	0	50338	全部提前还款
1357026	提前还款（全部）	2016-08-22	0	59555	全部提前还款
1357026	提前还款（全部）	2016-08-16	0	20100	全部提前还款
1357026	提前还款（全部）	2013-11-15	-36	123188	--
1357026	提前还款（全部）	2013-11-15	-6	20000	--
1357026	提前还款（全部）	2014-01-13	-35	16782	--
1357026	提前还款（全部）	2016-08-21	0	46090	全部提前还款
1357026	提前还款（全部）	2014-04-14	-33	109616	--
1357026	提前还款（全部）	2014-01-29	-36	52840	--
1357026	提前还款（全部）	2013-12-11	-24	20000	--
1357026	提前还款（全部）	2015-08-22	0	100541	全部提前还款
1357026	提前还款（全部）	2016-08-24	0	57159	全部提前还款
1357026	提前还款（全部）	2015-07-16	0	50210	全部提前还款
1357026	提前还款（全部）	2015-08-13	0	14900	全部提前还款
1357026	提前还款（部分）	2015-07-19	0	149050	部分提前还款
1357026	提前还款（全部）	2016-08-22	0	46197	全部提前还款
1357026	提前还款（全部）	2016-08-21	0	15062	全部提前还款
1357026	提前还款（全部）	2014-09-29	0	10008	全部提前还款
1357026	提前还款（全部）	2016-08-21	0	37153	全部提前还款
