REPORT_ID,REPORT_CREATE_TIME,QUERY_REASON,QUERY_ORG
9410,2016/9/23 14:17,贷款审批,C
8787,2016/9/22 12:02,贷款审批,C
24820,2016/10/13 15:32,贷款审批,D
25708,2016/10/14 11:20,贷款审批,D
22999,2016/10/12 13:41,贷款审批,D
28675,2016/10/17 18:32,贷款审批,D
26899,2016/10/15 13:23,贷款审批,D
41549,2016/10/27 20:20,贷款审批,D
48614,2016/11/3 15:32,贷款审批,D
49099,2016/11/3 19:44,贷款审批,D
50598,2016/11/5 11:14,贷款审批,D
54038,2016/11/8 16:47,贷款审批,D
65159,2016/11/17 15:02,贷款审批,D
70476,2016/11/22 11:32,贷款审批,D
74971,2016/11/24 16:01,贷款审批,C
86974,2016/12/1 16:10,贷款审批,D
90751,2016/12/5 9:21,贷款审批,D
88163,2016/12/2 9:36,贷款审批,D
88203,2016/12/2 9:40,贷款审批,D
98638,2016/12/8 9:42,贷款审批,D
113922,2016/12/15 10:02,贷款审批,C
112594,2016/12/14 16:04,贷款审批,C
116104,2016/12/16 10:06,贷款审批,D
117735,2016/12/16 17:18,贷款审批,D
125045,2016/12/19 12:03,贷款审批,D
126671,2016/12/19 14:04,贷款审批,C
128098,2016/12/19 16:04,贷款审批,C
128445,2016/12/19 17:31,贷款审批,D
130668,2016/12/20 10:01,贷款审批,C
130703,2016/12/20 10:02,贷款审批,C
134260,2016/12/21 9:09,贷款审批,D
138988,2016/12/22 20:01,担保资格审查,C
138349,2016/12/22 16:05,担保资格审查,C
139114,2016/12/23 8:02,担保资格审查,C
138676,2016/12/22 18:08,担保资格审查,C
144510,2016/12/23 15:17,贷款审批,D
144528,2016/12/23 15:18,贷款审批,D
142853,2016/12/23 12:01,担保资格审查,C
142657,2016/12/23 14:28,贷款审批,D
142665,2016/12/23 14:28,贷款审批,D
140614,2016/12/23 10:09,担保资格审查,C
147814,2016/12/23 16:36,贷款审批,D
147496,2016/12/23 16:28,贷款审批,D
146533,2016/12/23 14:01,担保资格审查,C
151150,2016/12/24 10:14,担保资格审查,C
151640,2016/12/24 10:05,担保资格审查,C
159514,2016/12/26 12:54,贷款审批,D
163711,2016/12/26 20:02,担保资格审查,C
163719,2016/12/26 20:02,担保资格审查,C
161233,2016/12/26 16:06,担保资格审查,C
161022,2016/12/26 16:33,贷款审批,D
160363,2016/12/26 14:30,贷款审批,D
169084,2016/12/27 14:13,担保资格审查,C
168790,2016/12/27 14:11,担保资格审查,C
165469,2016/12/27 10:49,贷款审批,D
167428,2016/12/27 14:38,贷款审批,D
165576,2016/12/27 11:18,贷款审批,D
170491,2016/12/28 9:33,贷款审批,D
171359,2016/12/28 10:49,贷款审批,D
173752,2016/12/28 14:03,担保资格审查,C
174368,2016/12/28 16:02,担保资格审查,C
176385,2016/12/29 9:13,贷款审批,D
183728,2016/12/29 18:14,担保资格审查,C
184536,2016/12/29 18:16,担保资格审查,C
184329,2016/12/29 18:10,担保资格审查,C
184385,2016/12/29 18:15,担保资格审查,C
184410,2016/12/29 18:14,担保资格审查,C
185146,2016/12/29 20:05,担保资格审查,C
183519,2016/12/29 18:09,担保资格审查,C
183563,2016/12/29 18:09,担保资格审查,C
181200,2016/12/29 17:06,贷款审批,D
182405,2016/12/29 16:09,担保资格审查,C
182242,2016/12/29 16:08,担保资格审查,C
182616,2016/12/29 18:05,担保资格审查,C
181973,2016/12/29 16:06,担保资格审查,C
180117,2016/12/29 12:12,担保资格审查,C
187352,2016/12/30 8:04,担保资格审查,C
188734,2016/12/30 8:08,担保资格审查,C
188155,2016/12/30 8:03,担保资格审查,C
188201,2016/12/30 8:03,担保资格审查,C
188238,2016/12/30 9:22,贷款审批,D
188968,2016/12/30 9:34,贷款审批,D
185780,2016/12/29 20:04,担保资格审查,C
186107,2016/12/29 20:09,担保资格审查,C
185346,2016/12/29 20:05,担保资格审查,C
185363,2016/12/29 18:18,担保资格审查,C
185630,2016/12/29 20:04,担保资格审查,C
192728,2016/12/30 12:04,担保资格审查,C
192198,2016/12/30 12:03,担保资格审查,C
191695,2016/12/30 12:11,担保资格审查,C
190603,2016/12/30 10:06,担保资格审查,C
193398,2016/12/30 14:33,贷款审批,D
195391,2016/12/30 16:02,担保资格审查,C
193458,2016/12/30 14:08,担保资格审查,C
190373,2016/12/30 10:05,担保资格审查,C
193620,2016/12/30 14:08,担保资格审查,C
193623,2016/12/30 14:08,担保资格审查,C
194955,2016/12/30 14:05,担保资格审查,C
197722,2016/12/30 18:04,担保资格审查,C
195783,2016/12/30 16:04,担保资格审查,C
195830,2016/12/30 16:06,担保资格审查,C
196014,2016/12/30 16:09,担保资格审查,C
196730,2016/12/30 16:07,担保资格审查,C
196813,2016/12/30 16:08,担保资格审查,C
195604,2016/12/30 16:03,担保资格审查,C
195721,2016/12/30 16:06,担保资格审查,C
196445,2016/12/30 16:05,担保资格审查,C
199708,2016/12/30 20:13,担保资格审查,C
198428,2016/12/30 20:14,担保资格审查,C
199903,2016/12/31 8:05,担保资格审查,C
198606,2016/12/30 20:15,担保资格审查,C
198671,2016/12/30 20:03,担保资格审查,C
199361,2016/12/30 20:07,担保资格审查,C
200751,2016/12/31 8:04,担保资格审查,C
198773,2016/12/30 20:15,担保资格审查,C
199493,2016/12/30 20:08,担保资格审查,C
200200,2016/12/31 8:02,担保资格审查,C
198252,2016/12/30 18:06,担保资格审查,C
198300,2016/12/30 18:07,担保资格审查,C
204373,2016/12/31 14:09,担保资格审查,C
203831,2016/12/31 14:06,担保资格审查,C
204463,2016/12/31 14:10,担保资格审查,C
205151,2016/12/31 16:02,担保资格审查,C
205255,2016/12/31 16:05,担保资格审查,C
205439,2016/12/31 16:08,担保资格审查,C
204824,2016/12/31 16:05,担保资格审查,C
205513,2016/12/31 16:09,担保资格审查,C
204913,2016/12/31 16:05,担保资格审查,C
