"REPORT_ID","HOUSE_LOAN_COUNT","COMMERCIAL_LOAN_COUNT","OTHER_LOAN_COUNT","FIRST_LOAN_OPEN_MONTH","LOANCARD_COUNT","FIRST_LOANCARD_OPEN_MONTH","STANDARD_LOANCARD_COUNT","FIRST_SL_OPEN_MONTH","ANNOUNCE_COUNT","DISSENT_COUNT"
"8787","0","0","0","--","2","2014.05","0","--","0","0"
"9410","0","0","5","2014.11","19","2014.09","0","--","0","0"
"25708","0","0","2","2016.05","6","2016.02","0","--","0","0"
"24820","0","0","0","--","10","2013.01","0","--","0","0"
"22999","0","0","7","2015.06","14","2012.08","1","2016.03","0","0"
"28675","0","0","2","2016.03","3","2016.03","0","--","0","0"
"26899","0","0","1","2016.09","4","2016.02","0","--","0","0"
"48614","1","0","2","2013.12","4","2015.03","0","--","0","0"
"49099","0","0","4","2016.07","2","2016.07","0","--","0","0"
"41549","0","0","5","2016.04","10","2015.05","0","--","0","0"
"50598","0","0","2","2016.09","10","2008.04","0","--","0","0"
"54038","0","0","1","2016.01","5","2010.11","2","2009.02","0","0"
"65159","0","0","0","--","5","2012.05","3","2013.03","0","0"
"70476","0","0","17","2016.03","6","2012.05","0","--","0","0"
"74971","0","0","7","2015.03","14","2008.04","3","2014.02","0","0"
"90751","0","0","1","2015.12","3","2016.08","0","--","0","0"
"86974","0","0","1","2016.09","5","2011.01","0","--","0","0"
"88163","1","0","0","2003.01","26","2009.06","0","--","0","0"
"88203","0","0","13","2015.03","5","2011.02","2","2007.04","0","0"
"98638","0","0","5","2016.05","10","2014.07","0","--","0","0"
"112594","0","0","15","2010.11","12","2014.11","0","--","0","0"
"117735","0","0","5","2008.05","11","2014.06","0","--","0","0"
"116104","0","0","38","2015.11","3","2014.11","0","--","0","0"
"113922","0","0","1","2015.01","10","2012.10","0","--","0","0"
"130668","0","0","0","--","10","2015.12","0","--","0","0"
"130703","0","0","0","--","3","2014.11","0","--","0","0"
"134260","0","0","0","--","9","2015.04","0","--","0","0"
"128098","0","0","10","2016.02","29","2014.12","5","2011.05","0","0"
"126671","0","0","4","2016.09","3","2013.04","0","--","0","0"
"128445","0","0","1","2016.05","10","2013.07","0","--","0","0"
"125045","0","0","4","2010.12","13","2011.01","0","--","0","0"
"147814","0","0","8","2016.04","10","2015.06","0","--","0","0"
"151640","0","0","3","2016.05","22","2007.07","3","2010.07","0","0"
"151150","0","0","0","--","1","2016.11","0","--","0","0"
