"REPORT_ID","TYPE_DW","COUNT_DW","MONTHS","HIGHEST_OA_PER_MON","MAX_DURATION"
"9410","贷款逾期","0","0","0.00","0"
"9410","贷记卡逾期","1","1","0.00","1"
"9410","准贷记卡60天以上透支","0","0","0.00","0"
"24820","贷款逾期","0","0","0.00","0"
"24820","贷记卡逾期","3","6","440.00","1"
"24820","准贷记卡60天以上透支","0","0","0.00","0"
"22999","贷款逾期","0","0","0.00","0"
"22999","贷记卡逾期","1","1","0.00","1"
"22999","准贷记卡60天以上透支","0","0","0.00","0"
"41549","贷款逾期","0","0","0.00","0"
"41549","贷记卡逾期","5","3","3467.00","1"
"41549","准贷记卡60天以上透支","0","0","0.00","0"
"50598","贷款逾期","0","0","0.00","0"
"50598","贷记卡逾期","3","2","0.00","2"
"50598","准贷记卡60天以上透支","0","0","0.00","0"
"48614","贷款逾期","1","3","0.00","1"
"48614","贷记卡逾期","3","2","108.00","1"
"48614","准贷记卡60天以上透支","0","0","0.00","0"
"54038","贷款逾期","0","0","0.00","0"
"54038","贷记卡逾期","1","4","10.00","1"
"54038","准贷记卡60天以上透支","0","0","0.00","0"
"88203","贷款逾期","0","0","0.00","0"
"88203","贷记卡逾期","1","15","1321.00","2"
"88203","准贷记卡60天以上透支","0","0","0.00","0"
"90751","贷款逾期","0","0","0.00","0"
"90751","贷记卡逾期","1","1","0.00","1"
"90751","准贷记卡60天以上透支","0","0","0.00","0"
"125045","贷款逾期","0","0","0.00","0"
"125045","贷记卡逾期","2","5","2526.00","1"
"125045","准贷记卡60天以上透支","0","0","0.00","0"
"128098","贷款逾期","0","0","0.00","0"
"128098","贷记卡逾期","2","2","0.00","1"
"128098","准贷记卡60天以上透支","0","0","0.00","0"
"128445","贷款逾期","0","0","0.00","0"
"128445","贷记卡逾期","1","3","957.00","1"
"128445","准贷记卡60天以上透支","0","0","0.00","0"
"130703","贷款逾期","0","0","0.00","0"
"130703","贷记卡逾期","1","2","0.00","2"
"130703","准贷记卡60天以上透支","0","0","0.00","0"
"142665","贷款逾期","0","0","0.00","0"
"142665","贷记卡逾期","4","8","499.00","1"
"142665","准贷记卡60天以上透支","0","0","0.00","0"
"142853","贷款逾期","0","0","0.00","0"
"142853","贷记卡逾期","3","4","965.00","1"
"142853","准贷记卡60天以上透支","0","0","0.00","0"
"139114","贷款逾期","0","0","0.00","0"
"139114","贷记卡逾期","4","9","4742.00","1"
"139114","准贷记卡60天以上透支","0","0","0.00","0"
"144510","贷款逾期","2","2","1882.00","1"
"144510","贷记卡逾期","4","4","19.00","1"
"144510","准贷记卡60天以上透支","0","0","0.00","0"
"138988","贷款逾期","0","0","0.00","0"
"138988","贷记卡逾期","3","14","11605.00","2"
"138988","准贷记卡60天以上透支","0","0","0.00","0"
"138349","贷款逾期","0","0","0.00","0"
"138349","贷记卡逾期","4","16","21030.00","3"
"138349","准贷记卡60天以上透支","0","0","0.00","0"
"147496","贷款逾期","0","0","0.00","0"
"147496","贷记卡逾期","4","4","6004.00","1"
"147496","准贷记卡60天以上透支","0","0","0.00","0"
"151640","贷款逾期","1","2","430.00","2"
"151640","贷记卡逾期","1","4","15016.00","2"
"151640","准贷记卡60天以上透支","0","0","0.00","0"
"160363","贷款逾期","0","0","0.00","0"
"160363","贷记卡逾期","1","3","826.00","2"
"160363","准贷记卡60天以上透支","0","0","0.00","0"
"159514","贷款逾期","0","0","0.00","0"
"159514","贷记卡逾期","3","21","24251.00","7"
"159514","准贷记卡60天以上透支","0","0","0.00","0"
"167428","贷款逾期","0","0","0.00","0"
"167428","贷记卡逾期","1","1","1106.00","1"
"167428","准贷记卡60天以上透支","0","0","0.00","0"
"165576","贷款逾期","0","0","0.00","0"
"165576","贷记卡逾期","1","1","54.00","1"
"165576","准贷记卡60天以上透支","0","0","0.00","0"
"169084","贷款逾期","1","5","903.00","1"
"169084","贷记卡逾期","0","0","0.00","0"
"169084","准贷记卡60天以上透支","0","0","0.00","0"
"163711","贷款逾期","0","0","0.00","0"
"163711","贷记卡逾期","1","6","0.00","3"
"163711","准贷记卡60天以上透支","0","0","0.00","0"
"170491","贷款逾期","0","0","0.00","0"
"170491","贷记卡逾期","2","3","0.00","2"
"170491","准贷记卡60天以上透支","0","0","0.00","0"
"174368","贷款逾期","0","0","0.00","0"
"174368","贷记卡逾期","1","1","357.00","1"
"174368","准贷记卡60天以上透支","0","0","0.00","0"
"176385","贷款逾期","0","0","0.00","0"
"176385","贷记卡逾期","1","1","0.00","1"
"176385","准贷记卡60天以上透支","0","0","0.00","0"
"183519","贷款逾期","1","2","133.00","1"
"183519","贷记卡逾期","0","0","0.00","0"
"183519","准贷记卡60天以上透支","0","0","0.00","0"
"183728","贷款逾期","2","17","2791.00","5"
"183728","贷记卡逾期","4","14","70.00","2"
"183728","准贷记卡60天以上透支","1","5","0.00","4"
"182616","贷款逾期","0","0","0.00","0"
"182616","贷记卡逾期","1","1","14156.00","1"
"182616","准贷记卡60天以上透支","0","0","0.00","0"
"181973","贷款逾期","0","0","0.00","0"
"181973","贷记卡逾期","3","10","0.00","1"
"181973","准贷记卡60天以上透支","0","0","0.00","0"
"182242","贷款逾期","0","0","0.00","0"
"182242","贷记卡逾期","3","9","1337.00","2"
"182242","准贷记卡60天以上透支","0","0","0.00","0"
"181200","贷款逾期","0","0","0.00","0"
"181200","贷记卡逾期","4","12","2360.00","2"
"181200","准贷记卡60天以上透支","0","0","0.00","0"
"184536","贷款逾期","0","0","0.00","0"
"184536","贷记卡逾期","1","2","17.00","1"
"184536","准贷记卡60天以上透支","0","0","0.00","0"
"185780","贷款逾期","0","0","0.00","0"
"185780","贷记卡逾期","1","2","1944.00","1"
"185780","准贷记卡60天以上透支","0","0","0.00","0"
"188201","贷款逾期","0","0","0.00","0"
"188201","贷记卡逾期","0","0","0.00","0"
"188201","准贷记卡60天以上透支","1","5","152.00","7"
"186107","贷款逾期","0","0","0.00","0"
"186107","贷记卡逾期","1","1","0.00","1"
"186107","准贷记卡60天以上透支","0","0","0.00","0"
"188238","贷款逾期","0","0","0.00","0"
"188238","贷记卡逾期","5","8","0.00","2"
